Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,873.299988,876.799988,848.000000,855.299988,855.299988,14918485
2023-01-27,839.150024,843.000000,813.099976,817.200012,817.200012,39718683
2023-01-30,800.000000,826.250000,796.000000,823.500000,823.500000,36301441
2023-01-31,826.000000,838.299988,814.099976,831.900024,831.900024,27291226
2023-02-01,843.450012,875.200012,823.150024,847.950012,847.950012,39237711
2023-02-02,828.400024,860.599976,826.099976,857.900024,857.900024,16798190
2023-02-03,864.650024,872.650024,852.099976,863.799988,863.799988,14914366
2023-02-06,861.500000,867.799988,849.650024,853.700012,853.700012,8463833
2023-02-07,855.000000,856.000000,847.200012,852.750000,852.750000,9337066
2023-02-08,852.500000,860.700012,851.900024,859.099976,859.099976,8082983
2023-02-09,858.500000,864.900024,851.599976,860.799988,860.799988,6299265
2023-02-10,855.549988,861.900024,852.000000,853.849976,853.849976,8656405
2023-02-13,853.400024,859.299988,849.349976,850.650024,850.650024,9394365
2023-02-14,853.900024,867.299988,852.099976,865.299988,865.299988,13402934
2023-02-15,866.400024,873.250000,860.599976,870.799988,870.799988,12070288
2023-02-16,875.950012,877.799988,864.849976,869.450012,869.450012,10715685
2023-02-17,867.549988,867.549988,855.150024,862.650024,862.650024,9990618
2023-02-20,862.650024,866.549988,850.250000,852.099976,852.099976,9013430
2023-02-21,854.400024,859.450012,846.849976,854.200012,854.200012,11704445
2023-02-22,851.250000,854.099976,834.750000,839.250000,839.250000,13880984
2023-02-23,836.549988,844.450012,833.549988,839.750000,839.750000,11743574
2023-02-24,843.950012,845.599976,835.549988,839.700012,839.700012,8246139
2023-02-27,833.549988,858.299988,833.549988,856.400024,856.400024,14422574
2023-02-28,854.900024,858.000000,850.000000,854.849976,854.849976,19600146
2023-03-01,864.000000,864.000000,851.849976,856.299988,856.299988,11015843
2023-03-02,853.000000,861.849976,851.099976,854.000000,854.000000,12327141
2023-03-03,856.750000,873.000000,849.849976,868.549988,868.549988,12823098
2023-03-06,871.750000,876.849976,865.349976,867.750000,867.750000,13904231
2023-03-08,866.650024,873.650024,861.500000,872.099976,872.099976,16144568
2023-03-09,867.200012,869.799988,854.150024,855.950012,855.950012,10624440
2023-03-10,844.700012,845.349976,836.250000,842.650024,842.650024,17273189
2023-03-13,841.450012,855.299988,823.950012,828.400024,828.400024,16413159
2023-03-14,827.000000,834.450012,818.250000,830.349976,830.349976,15456802
2023-03-15,836.450012,843.950012,822.200012,825.900024,825.900024,12914488
2023-03-16,829.700012,831.299988,810.299988,823.900024,823.900024,14987868
2023-03-17,831.799988,838.400024,818.650024,836.250000,836.250000,11104490
2023-03-20,837.000000,837.799988,825.000000,836.450012,836.450012,14838651
2023-03-21,843.000000,854.500000,839.049988,852.400024,852.400024,18755854
2023-03-22,857.650024,862.549988,851.000000,860.200012,860.200012,17431520
2023-03-23,857.000000,867.450012,852.799988,855.450012,855.450012,17920621
2023-03-24,852.500000,860.000000,849.150024,852.400024,852.400024,17295696
2023-03-27,854.950012,856.400024,844.049988,848.700012,848.700012,17047675
2023-03-28,855.549988,858.900024,848.200012,854.750000,854.750000,24469018
2023-03-29,857.049988,862.099976,848.000000,851.000000,851.000000,34881515
2023-03-31,861.950012,881.000000,858.500000,877.250000,877.250000,25739021
2023-04-03,880.200012,887.099976,868.849976,883.799988,883.799988,26416933
2023-04-05,886.599976,887.750000,874.000000,884.599976,884.599976,21068934
2023-04-06,882.000000,890.099976,872.700012,875.000000,875.000000,26042745
2023-04-10,880.049988,882.799988,864.400024,868.450012,868.450012,30906205
2023-04-11,873.700012,885.599976,865.000000,881.900024,881.900024,39504022
2023-04-12,883.450012,892.000000,880.299988,890.150024,890.150024,22686032
2023-04-13,891.099976,901.650024,886.500000,899.000000,899.000000,34439635
2023-04-17,917.299988,917.299988,893.150024,901.299988,901.299988,29957514
2023-04-18,907.950012,907.950012,894.099976,896.849976,896.849976,26699379
2023-04-19,895.900024,896.900024,887.250000,891.900024,891.900024,24377956
2023-04-20,892.250000,899.299988,889.200012,894.400024,894.400024,16999919
2023-04-21,894.549988,900.700012,882.400024,885.650024,885.650024,29578071
2023-04-24,905.000000,906.500000,895.000000,904.750000,904.750000,30881665
2023-04-25,906.299988,916.000000,903.099976,913.450012,913.450012,41383839
2023-04-26,911.450012,916.950012,905.750000,914.950012,914.950012,30371555
2023-04-27,909.500000,919.900024,908.549988,918.349976,918.349976,25835108
2023-04-28,915.099976,920.450012,910.250000,917.650024,917.650024,20381002
2023-05-02,924.000000,925.799988,918.700012,922.099976,922.099976,17515017
2023-05-03,919.549988,923.849976,911.549988,922.849976,922.849976,18715142
2023-05-04,920.000000,923.900024,911.799988,921.700012,921.700012,20485002
2023-05-05,925.000000,942.450012,923.450012,926.950012,926.950012,19002035
2023-05-08,927.000000,941.700012,927.000000,937.900024,937.900024,18623913
2023-05-09,941.000000,945.000000,931.799988,934.400024,934.400024,21507610
2023-05-10,934.599976,941.000000,928.250000,936.049988,936.049988,25910923
2023-05-11,940.049988,947.000000,933.849976,939.200012,939.200012,20027372
2023-05-12,939.750000,948.000000,935.099976,943.900024,943.900024,13873480
2023-05-15,943.750000,949.000000,938.200012,945.750000,945.750000,10453762
2023-05-16,950.000000,952.200012,943.000000,946.349976,946.349976,19612293
2023-05-17,947.299988,948.400024,935.799988,939.349976,939.349976,19273344
2023-05-18,947.950012,952.250000,942.099976,946.500000,946.500000,21550141
2023-05-19,951.450012,956.000000,941.599976,954.299988,954.299988,15427412
2023-05-22,951.049988,954.250000,946.150024,950.349976,950.349976,15509525
2023-05-23,952.000000,958.849976,945.000000,953.400024,953.400024,16579935
2023-05-24,946.700012,953.849976,938.500000,940.650024,940.650024,18049620
2023-05-25,937.000000,941.599976,932.950012,939.849976,939.849976,19328582
2023-05-26,939.799988,952.450012,935.549988,950.700012,950.700012,10957182
2023-05-29,953.849976,957.599976,946.799988,948.150024,948.150024,12108079
2023-05-30,945.349976,952.299988,944.650024,949.950012,949.950012,18483624
2023-05-31,949.500000,952.000000,940.500000,949.150024,949.150024,27254425
2023-06-01,954.250000,954.250000,932.799988,936.099976,936.099976,21650700
2023-06-02,943.000000,944.650024,935.049988,938.150024,938.150024,12494376
2023-06-05,943.000000,951.799988,943.000000,946.750000,946.750000,10751684
2023-06-06,946.500000,947.799988,938.099976,942.099976,942.099976,11894330
2023-06-07,944.349976,945.849976,933.799988,940.200012,940.200012,16486469
2023-06-08,936.599976,950.500000,935.200012,937.900024,937.900024,17608140
2023-06-09,941.400024,944.000000,936.200012,938.049988,938.049988,12253128
2023-06-12,938.000000,943.500000,933.299988,935.950012,935.950012,10520125
2023-06-13,935.900024,946.250000,934.099976,943.549988,943.549988,13528776
2023-06-14,946.049988,946.950012,936.250000,939.799988,939.799988,13489262
2023-06-15,940.700012,942.950012,924.349976,926.599976,926.599976,19366819
2023-06-16,929.299988,937.750000,927.000000,934.200012,934.200012,11249387
2023-06-19,933.500000,933.950012,918.700012,923.150024,923.150024,19351375
2023-06-20,920.950012,928.549988,914.799988,925.549988,925.549988,15212286
2023-06-21,928.000000,928.400024,920.000000,924.700012,924.700012,9210553
2023-06-22,924.400024,935.549988,920.700012,925.750000,925.750000,27291569
2023-06-23,926.049988,931.900024,919.000000,923.500000,923.500000,8767733
2023-06-26,927.099976,931.799988,923.200012,927.450012,927.450012,11749040
2023-06-27,930.000000,939.950012,922.200012,936.099976,936.099976,13422726
2023-06-28,936.099976,936.099976,936.099976,936.099976,936.099976,0
2023-06-30,940.500000,942.200012,930.650024,934.599976,934.599976,13843218
2023-07-03,937.000000,945.750000,936.500000,942.549988,942.549988,12350359
2023-07-04,947.250000,951.299988,942.000000,944.700012,944.700012,14041699
2023-07-05,942.049988,964.750000,941.000000,958.000000,958.000000,13817767
2023-07-06,954.700012,963.900024,954.000000,959.400024,959.400024,16334427
2023-07-07,953.000000,955.049988,943.799988,946.400024,946.400024,8593807
2023-07-10,946.000000,952.900024,941.349976,948.400024,948.400024,12069184
2023-07-11,948.400024,952.700012,941.900024,944.950012,944.950012,16977595
2023-07-12,948.400024,951.150024,941.250000,944.400024,944.400024,21511161
2023-07-13,947.700012,959.250000,942.200012,955.700012,955.700012,23222286
2023-07-14,959.750000,965.000000,951.349976,960.049988,960.049988,12871569
2023-07-17,962.900024,973.799988,952.849976,968.700012,968.700012,16290763
2023-07-18,null,null,null,null,null,null
2023-07-19,980.000000,980.000000,967.549988,973.450012,973.450012,15993102
